symbol,side,qty,pnl,strategy,options_bias,hour,target,timestamp
RELIANCE,BUY,1,0.1,ORB Breakout,NEUTRAL,10,1,2026-02-22T07:26:59.033974
RELIANCE,BUY,1,0.3,ORB Breakout,NEUTRAL,10,1,2026-02-22T07:26:59.034044
RELIANCE,BUY,1,0.5,ORB Breakout,NEUTRAL,11,1,2026-02-22T07:26:59.034104
RELIANCE,BUY,3,1.8,ORB Breakout,NEUTRAL,11,1,2026-02-22T07:26:59.034159
RELIANCE,BUY,1,-61.7,ORB Breakout,NEUTRAL,11,0,2026-02-22T07:26:59.034214
RELIANCE,BUY,4,-248.8,ORB Breakout,NEUTRAL,11,0,2026-02-22T07:26:59.034270
RELIANCE,BUY,6,-373.2,ORB Breakout,NEUTRAL,11,0,2026-02-22T07:26:59.034325
INFY,BUY,5,1.0,ORB Breakout,NEUTRAL,11,1,2026-02-22T07:26:59.034379
RELIANCE,BUY,10,9.0,ORB Breakout,NEUTRAL,11,1,2026-02-22T07:26:59.034432
RELIANCE,BUY,4,0.0,ORB Breakout,NEUTRAL,11,0,2026-02-22T07:26:59.034488
RELIANCE,BUY,4,0.0,ORB Breakout,NEUTRAL,12,0,2026-02-22T07:26:59.034543
RELIANCE,BUY,100,30.0,ORB Breakout,NEUTRAL,12,1,2026-02-22T07:26:59.034600
ICICIBANK,BUY,100,2900.0,ORB Breakout,NEUTRAL,12,1,2026-02-22T07:26:59.034670
